longitude,latitude,result_1990,result_1991,result_1992,result_1993,result_1994,result_1995,result_1996,result_1997,result_1998,result_1999,result_2000,result_2001,result_2002,result_2003,result_2004,result_2005,result_2006,result_2007,result_2008,result_2009,result_2010,result_2011,result_2012,result_2013,result_2014,result_2015,result_2016,result_2017,result_2018,result_2019,result_2020
107,37,296121.9391,299480.945,302839.9508,306198.9567,309557.9625,312916.9684,315464.0633,318011.1582,320558.253,323105.3479,318191.0,316573.0,319548.0,323861.0,325622.0,330523.0,332683.0,337968.0,339529.0,344855.0,343968.0,351832.0,358353.0,361054.0,367397.0,371650.0,372212.0,374537.0,378885.0,381123.0,384012.0
108,37,326796.6085,331196.5488,335596.489,339996.4293,344396.3695,348796.3098,352386.8367,355977.3637,359567.8906,363158.4176,532810.0,519304.0,526170.0,533176.0,534862.0,537175.0,534889.0,533656.0,537528.0,537366.0,536985.0,538455.0,535337.0,538545.0,536204.0,540827.0,543437.0,543868.0,540781.0,543085.0,542086.0
109,37,769695.0887,774454.5699,779214.0512,783973.5324,788733.0137,793492.4949,796109.5609,798726.6269,801343.6928,803960.7588,847942.0,853460.0,854139.0,851727.0,855039.0,853164.0,853442.0,852364.0,850573.0,850941.0,846740.0,847546.0,847137.0,843813.0,844718.0,841890.0,840321.0,839886.0,840929.0,835925.0,833892.0
110,37,1277687.335,1287599.581,1297511.826,1307424.072,1317336.317,1327248.563,1333804.399,1340360.236,1346916.072,1353471.909,1660511.0,1670531.0,1671532.0,1671192.0,1671572.0,1670006.0,1672923.0,1676789.0,1672910.0,1681618.0,1679050.0,1680517.0,1677943.0,1677907.0,1676661.0,1675691.0,1672286.0,1669741.0,1666413.0,1661277.0,1656039.0
111,37,1771397.199,1803699.675,1836002.15,1868304.626,1900607.101,1932909.577,1961989.818,1991070.058,2020150.299,2049230.539,2296361.0,2311745.0,2330554.0,2354081.0,2377009.0,2393558.0,2409723.0,2429822.0,2447054.0,2466946.0,2485191.0,2505611.0,2520337.0,2538850.0,2555107.0,2571940.0,2588268.0,2603124.0,2617078.0,2628626.0,2639576.0
112,37,3540152.699,3609621.971,3679091.243,3748560.516,3818029.788,3887499.06,3951876.492,4016253.924,4080631.357,4145008.789,6559753.0,6666641.0,6762089.0,6866363.0,6965746.0,7070097.0,7182842.0,7280166.0,7373995.0,7490059.0,7607745.0,7698820.0,7810311.0,7917801.0,8022780.0,8130248.0,8236549.0,8342432.0,8445697.0,8548403.0,8646360.0
113,37,1440680.434,1449650.993,1458621.552,1467592.11,1476562.669,1485533.228,1490656.918,1495780.607,1500904.297,1506027.986,4462160.0,4508977.0,4581915.0,4643962.0,4708342.0,4766970.0,4831870.0,4897927.0,4967174.0,5023743.0,5072060.0,5143899.0,5198254.0,5260459.0,5332648.0,5398686.0,5459235.0,5520423.0,5583440.0,5640573.0,5697648.0
114,37,4680344.583,4747462.638,4814580.692,4881698.747,4948816.801,5015934.856,5073185.366,5130435.876,5187686.385,5244936.895,5804880.0,5856166.0,5910419.0,5962634.0,6009866.0,6060277.0,6092561.0,6135416.0,6173302.0,6216460.0,6260362.0,6311116.0,6349668.0,6390495.0,6419775.0,6454406.0,6490651.0,6524901.0,6553725.0,6579850.0,6602431.0
115,37,4788818.869,4847375.718,4905932.567,4964489.417,5023046.266,5081603.115,5128055.937,5174508.759,5220961.581,5267414.403,9372220.0,9458103.0,9532130.0,9595631.0,9667075.0,9726588.0,9801586.0,9852768.0,9909546.0,10011436.0,10080295.0,10131774.0,10194858.0,10248416.0,10299624.0,10350993.0,10402504.0,10445454.0,10485293.0,10518199.0,10547647.0
116,37,4538301.734,4577847.196,4617392.659,4656938.121,4696483.584,4736029.046,4764947.079,4793865.111,4822783.144,4851701.176,7874928.0,7924573.0,7962847.0,7997019.0,8031506.0,8070812.0,8092134.0,8122365.0,8158257.0,8178860.0,8191144.0,8226433.0,8233250.0,8260842.0,8281106.0,8303823.0,8318703.0,8333971.0,8342596.0,8348392.0,8348949.0
117,37,4529353.061,4553909.54,4578466.019,4603022.499,4627578.978,4652135.457,4662930.936,4673726.415,4684521.894,4695317.373,6747990.0,6780437.0,6823689.0,6859380.0,6907528.0,6951367.0,6994220.0,7038645.0,7068815.0,7109717.0,7157123.0,7191929.0,7220465.0,7260898.0,7296246.0,7332579.0,7367363.0,7398640.0,7419283.0,7438478.0,7456843.0
118,37,3196892.802,3190202.621,3183512.44,3176822.26,3170132.079,3163441.898,3228516.979,3293592.06,3358667.142,3423742.223,5941956.0,5973840.0,6038216.0,6078156.0,6114975.0,6164142.0,6204566.0,6255740.0,6294373.0,6338538.0,6382237.0,6425428.0,6467182.0,6493121.0,6526611.0,6560910.0,6587230.0,6615505.0,6640601.0,6668186.0,6686706.0
119,37,1096907.286,1107975.236,1119043.185,1130111.135,1141179.084,1152247.034,1160632.453,1169017.872,1177403.29,1185788.709,1085786.0,1094962.0,1091587.0,1103956.0,1121592.0,1134420.0,1145403.0,1152843.0,1163981.0,1156422.0,1167336.0,1179322.0,1197820.0,1213629.0,1227267.0,1228898.0,1239765.0,1248596.0,1255063.0,1260873.0,1269640.0
120,37,3432410.315,3455933.162,3479456.009,3502978.857,3526501.704,3550024.551,3563501.67,3576978.789,3590455.909,3603933.028,2861539.0,2877901.0,2881994.0,2900903.0,2915409.0,2934089.0,2942017.0,2964081.0,2968288.0,2955600.0,2970299.0,2973816.0,2989655.0,3003605.0,3014586.0,3028540.0,3025854.0,3031831.0,3034478.0,3041083.0,3043256.0
121,37,2492726.915,2524030.908,2555334.901,2586638.894,2617942.887,2649246.88,2675609.17,2701971.46,2728333.75,2754696.04,5112101.0,5142108.0,5138755.0,5150060.0,5184634.0,5208360.0,5219177.0,5240297.0,5256112.0,5300064.0,5337951.0,5337142.0,5367765.0,5388196.0,5405420.0,5440035.0,5455538.0,5467101.0,5465935.0,5479890.0,5482410.0
122,37,1131244.378,1172933.023,1214621.667,1256310.312,1297998.956,1339687.601,1362933.253,1386178.905,1409424.557,1432670.209,3123037.0,3152691.0,3152699.0,3166759.0,3192536.0,3217035.0,3243210.0,3259175.0,3278125.0,3296663.0,3322679.0,3338803.0,3362138.0,3375222.0,3388625.0,3404562.0,3422574.0,3437432.0,3447122.0,3462309.0,3467776.0
123,37,0,0,0,0,0,0,0,0,0,0,76149.0,84681.0,88153.0,86210.0,86192.0,88751.0,84545.0,86580.0,83534.0,82777.0,81756.0,83904.0,89596.0,92948.0,94309.0,100772.0,97610.0,99087.0,98053.0,98548.0,100818.0
73,38,5191.223526,5300.547476,5409.871426,5519.195376,5628.519326,5737.843276,5839.308597,5940.773917,6042.239238,6143.704558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,38,23239.20037,23732.7296,24226.25883,24719.78805,25213.31728,25706.84651,26166.04951,26625.25252,27084.45552,27543.65853,2599.0,3853.0,4044.0,4094.0,4203.0,4179.0,4344.0,4371.0,4323.0,4283.0,4927.0,4662.0,4974.0,4990.0,4866.0,4220.0,4336.0,4404.0,4440.0,4501.0,4578.0
75,38,47313.3798,48297.47328,49281.56676,50265.66025,51249.75373,52233.84721,53144.91211,54055.97701,54967.04191,55878.10681,18778.0,18016.0,19362.0,19607.0,19939.0,20190.0,20562.0,20430.0,20728.0,21202.0,20993.0,21151.0,21614.0,21841.0,22620.0,23326.0,23482.0,23797.0,24160.0,24422.0,24767.0
